session_id,user_id,time_on_site_sec,pages_viewed,num_clicks,scroll_depth,product_views,cart_additions,cart_value,discount_percent,ad_impressions,ad_clicks,bounce_flag,converted
643021522,187513,846.7717629271243,24,22,46.49741093136001,13,25,1231.4932930861958,18.74397445673574,9619,1071,1,0
790861230,523158,1006.7237891418841,25,35,40.0532903992776,18,20,1370.695184598308,47.10399928293648,7507,4902,1,0
465999606,483692,1799.9359721430876,7,16,27.156682524721067,15,17,1735.1910549339204,39.44557337996389,6818,440,0,1
922879229,145598,1189.2865393010572,6,63,19.577063313705757,15,19,793.9360777172764,18.561689908159835,3140,4800,0,1
696905686,263046,393.01280983752383,23,61,97.99724678278744,11,4,1032.0300688480459,35.142431935933324,6827,178,0,0
134577390,26693,1312.006061757872,25,42,64.9994659779092,10,6,1588.0560191458528,22.70364468646336,497,3203,1,0
934997874,372691,1186.690118972094,14,35,63.60341299541767,12,16,1722.5140257679102,39.14831651515892,6815,3545,0,0
5311102,309463,1329.8918061791555,23,61,88.87412284827289,24,21,1698.0801617949298,43.3192007260876,2618,395,1,0
546696120,573012,1677.3659490724199,5,65,55.9606135922987,2,4,866.3935321793941,37.520683034015974,6297,1413,1,1
50775724,966484,1720.8011764947128,18,56,48.138288646425444,23,6,717.7894325537349,12.718702566076768,6335,829,0,0
673504227,556722,313.723858238986,17,4,62.675718629409324,11,21,272.3954561880584,25.06691913680459,9331,489,1,1
896448802,6849,1175.7332374108069,17,62,80.66271825729852,19,4,1977.9153376854144,38.45124135768074,2518,1500,1,1
364754960,561633,1036.733944311965,23,51,88.11762085543909,22,8,461.3261644901856,47.36925693298949,9178,1131,0,1
637838730,445745,1618.3163502239552,6,48,64.6732616949412,23,6,931.4987556687564,36.95029445267268,8876,3043,0,0
237660735,929117,894.2369972744264,1,70,1.3709738476258004,21,16,1656.3644675622108,15.941054757670726,8834,3726,1,1
565146840,452154,278.3129140335464,15,71,23.38875134478252,7,7,810.4023611403281,13.997574935529833,5271,4175,1,0
405465396,792126,1023.4515657533155,7,10,18.16094740658145,19,15,713.3953010886361,27.33014665048284,5272,2796,1,0
84691959,84506,1105.9490027890174,23,48,55.6615617506137,19,17,741.0756925822566,22.102757915969995,8842,414,0,0
256436451,607034,600.277335758678,4,55,55.025799164546875,0,15,522.4481343897085,45.822732449976264,7626,2447,1,1
111034991,533634,1731.4606533169456,16,50,22.236160415777373,13,7,1959.1572309322626,43.49809580046415,4641,3784,1,0
300113142,992965,404.3289230643115,24,29,64.82836748236546,9,13,878.7008099210509,40.30091670612856,6633,4649,0,0
295145510,812094,1790.124689739081,21,36,77.53061422160411,15,16,813.6942253881257,22.024736565880925,145,2652,0,0
384605795,22079,847.7579118614881,16,65,54.565540470942295,22,3,65.50944257566216,30.24452128751539,8335,4373,1,0
623284876,583483,229.23819206755147,21,10,62.955867430599454,24,17,1036.2535870864886,15.24481766920398,6241,1866,1,0
79641697,688699,882.106150457794,17,64,22.40499220312814,14,16,1654.0425179623462,38.92286368795223,3357,2267,0,0
177484991,513709,507.5539194842355,19,56,87.63422082137058,7,23,1852.8134806603523,41.29313062547063,6468,3755,1,1
631064242,426802,1236.8184412834737,13,21,75.96953605776051,17,23,642.5914805969395,43.38978261250438,5007,2491,0,0
82360815,786004,1409.5030577859322,9,55,13.81862877792619,22,10,1754.7645967544274,13.643276594288439,292,2614,1,1
770938683,865827,466.30047033040194,13,35,48.91016547141395,3,19,1554.1993687000352,28.733946858836163,812,4284,0,0
965619655,669723,1041.8837038785578,24,50,97.7400882001818,2,4,942.4173091769298,46.58057656944596,4084,4357,1,1
454171765,943409,491.74009423172305,20,70,10.404446596459472,15,16,610.2587812947005,46.519826284254925,1271,4088,1,0
654864465,79767,1187.5666772148268,14,72,97.68082688756719,13,21,600.0069147814679,33.993659173021236,5381,4993,1,0
